内部货号,计量单位,,
1001382,袋,,
1001383,袋,,
1001384,袋,,
1001385,袋,,
1001386,袋,,
1001391,卷,,
1001392,箱,,
1001399,卷,,
1001546,袋,,
1001547,袋,,
1001548,袋,,
1001549,袋,,
1001550,袋,,
1001551,袋,,
1001552,袋,,
1001553,袋,,
1001554,袋,,
1001555,袋,,
1001556,袋,,
1001557,袋,,
1001558,袋,,
1001559,袋,,
1001560,袋,,
1001561,袋,,
1001642,箱,,
1001643,袋,,
1001644,袋,,
1001645,袋,,
1001646,袋,,
1001647,件,,
1001648,件,,
1001649,件,,
1001650,件,,
1001651,件,,
1001652,件,,
1001653,件,,
1001654,件,,
1001655,件,,
1001656,,,
1001657,件,,
1001658,袋,,
1001659,件,,
1001660,件,,
1001661,件,,
1001662,件,,
1001663,件,,
1002021,箱,,
1002022,箱,,
1002023,箱,,
1002024,箱,,
1002025,袋,,
1002026,袋,,
1002261,件,,
1002262,袋,,
1002332,包,,
1002333,包,,
1002334,包,,
1002335,包,,
1002336,袋,,
1002337,袋,,
1002353,件,,
1002354,件,,
1002355,件,,
1002356,件,,
1002357,件,,
1002358,件,,
1002359,袋,,
1002661,件,,
1002662,件,,
1002663,件,,
1002664,件,,
1002665,件,,
1002666,件,,
1002667,件,,
1002668,件,,
1002705,件,,
1002708,件,,
1002710,件,,
